मां	अम्मा
            देहाती		ग्रोंचड़
               दैनिक 	 रोज का
               दैत्य               	दैत
               दैवी  	 	भगुआने दा
               दैवयोग 	भगुआने दी मरजी
               दैहिक  	सरीरिक
               दो 	              	  दो
               दोगुना 	 दुगणा
               दोगलापन	 दोगलापण
               दोगला	  दोगला
               दोतरफा	 दू पासें
               दोबारा  	दबारा
               दोनाली  	दूनाल़ी
               दोनो  		दोयो
               दोपहर 	दपैहर
               दोपहरी  	दपैहरी
               दोपहिया 	दुपहिया
               दोपाया  	दो पैरा
               दोमंजिला 	दो मंजला
               दोमुंहा 	दमूहां
               दोमुखी 	दमुखी
               दोरंगा  	दूरंगा
               दोष               	दोस
               दोषपूर्ण 	दोस वाल़ा
               दोषी                	दोसी
               दोषारोपण  	दोस देणा
               दोस्त  	दोसत 
               दोस्ती 	मितरता
               दोस्ताना 	दोसताना
               दोहरा 	दूहरा
               दोहरी 	दूहरी
               दोहा 		दोहा
               दोहराना 	धराणा
               दौडना 	दोड़ना
               दौडाना 	दड़ाणां
               दौडभाग  	दौड़ भाग 
               दौर               	दौर
               दौरा 		दौरा 
               दौरान  	दरान
               दौलत  	दौलत 
               दौलतमंद 	पैसे वाल़ा
               द्रव्य  		जचीज़ 
               द्रविड़ 	द्रविड़ 
               द्रोही  		गुनाहगार 
               द्रोह               	खलाफबर्जी
               द्वंद्व  		झगड़ा 
               द्वार 		दराजा
               द्वितीय 	दूजा
               द्वारा                              दिया तरफा ते ।        
              दम   सुआस
           दम	 हिम्मत

           दमक    चमक
           दमडी    पैसा
           दमन     दबणा
          दमन     अत्याचार
           दमा      सुआसी
           दयनीय    बदहाल़ी
             दयनीय	बुरी
             दयनीय     खस्ता
           दयनीयता  बदहाल़ी
           दया         किरपा
           दयादृष्टि  दया
           दयादृष्टि      कृपा
           दयालु    किरपालू
           दर        दराजा
           दरकार    चाहीदा
           दरकिनार    परुआह नी करनी
           दरख्वास्त   अर्जी
           दरख्त        रुख
           दरवार       राजे दी कचैहरी
           दरवाजा    दराजा                
           दरी         दरी
           दरी          बछौणा
           दरिया        दरेया
           दरिद्रता      गरीबी
            दरिद्रता            कंगाल़ी
           दरिंदगी        बुरा कम्म
           दरियादिली   दलेर दिली
           दरोगा         ठाणेदार
           दर्ज        लीखणा
           दर्ज           दराल़
           दर्शन      दरसण
           दर्द          पीड़
           दर्जा       स्तर
           दर्जन     बारह
           दर्जी     सोई
           दर्द        पीड़
           धर्म       धर्म
           दर्दनाक      दर्द भरोया
           दर्दनिवारक    पीड़ा दी दवा
           दर्पण         सीसा
           दर्प    
           दरमियान     बिच
           दरअसल    असल च
           दल           दल
            दल          पार्टी
           दरिद्र          गरीब
           दलदल       चिक्कड़
           दलबदल   दल बदल
           दलबदल          पार्टी बदल़ना
           दलबदलू     पार्टी बदलने वाल़ा
           दलाल         दलाल
           दलाल              बचौलिया
           दलाली      दलाली
           दलिया          दल़िया
           दलील           दलील           
           दवाई             दुआई
           दवाखाना        अस्पताल
           दवात            दुआत
           दशक            दस साल
           दशमी             दसवीं
           दशहरा             दसैहरा
           दशा               दसा
           दशा                हाल
           दस              दस
           दसवाँ         दसुआं
           दस्तावेज      कागज़
           दस्तक          दस्तक
           दस्त             जलाव
           दस्तकार     कारीगर
           दस्तकारी    कारीगरी
           दस्तख्त      दसख़त
           दस्ता            टुकड़ी
            दस्ता              हत्थी
           दस्ताना     दसताना
           दस्ती         हत्थें हत्थ
           दही           दही
           दहाई      दस
           दहाड़      धाड़
           दहेज        दाज
           दहशत     	 डर
           दहशतगर्दी  	दहसतगर्दी
           दहशतगर्द  	दहसतगर्द
           दहाडना     	दहाड़ना
             दहाडना   धाड़ना
           दहेज़             दाज
           दांत         दंद
           दांव        दा
           दाई      दाई
           दाग      दाग
             दाग	   धव्बा
           दागदार 	दागदार
    लालसा     इच्छा
    लालायित  लल़चोया
    लावारिस   नमोड़ा
    लावा         लाहफ
    लाश         लास
    लांछन         दोस
    लांघना।     लंघणा
    लिखना      लीखणा
    लिखवाना     लखुआणा
    लिखावट।      लखौट
    लिखाई         लखाई
    लिखापढी     कागजी कारवाई
    लिखित         लीखी ने
    लिटाना           लटाणा
    लिपटना      लपटोणा
    लिपवाना।        लिपुआणा
    लिपि           लिपि
    लिपस्टिक         लिपस्टिक
    लिप्त            . सामल
    लिपिबद्ध।  सबदां च लिखि देणा
    लिप्सा।          तमन्ना
    लिफ्ट                 चुक्कणा
    लिफाफा।    लफाफा
    लिहाज      लिहाज़
    लिहाफ      खिन्द
    लिस्ट        सूची
    लीक       लकीर
    लीख      .लीख
    लीची लीची
                
लीचड़    कमीना
    लीचड़ 
    लीचिंग
    लीन  व्यस्त
    लीपना  लिप्पणा
    लीपापोती  टाल़ना
    लीला      खैल
    लीलाधर ईश्वर
    लुत्फ     आनंद
    लुप्त     मज़ा

    लेट  देर
    लेटना लम्में पौण
    लेन  लेण
    लेनदारलेणदार
    लेडी  जणास
    लेनदेन लैणदेण
    लेना लैणा
    लेप 
    लेफ 
    लेपना 
    लेबल 
    लेबी
    लेस 
    लेसदार 
    लोक 
    लोकसभा 
    लोकप्रिय 
    लोकतंत्र
    लोकल 
    लोकोक्ति 
    लोग 
    लोच 
    लोचदार 
    लोचा
    लोटपोट 
    लोटा 
    लोप 
    लोभी 
    लोभ लाल़ची
    लोम 
    लोरी गीत
    लोहा 
    लोलुप       लाल़ची
    लोलुपता  लाल़च
    लोहार        लुहार
    लोहारिन        लुहारी
    लोंग  लोंग
    लोग लोक
    लोक 
    लौंडा 
    लौंडी 
    लौ     लो
    लोसर        तुहारर
    लौकी       तोरी
    लौटना       हटणा
    लोटना     बेलणा
    लौटाना टाहणा
    दागना 	 दागणा
           दागी 	  दागी
           दागी	   बदनाम
           दाढ  	 दाढ़              
     ऊंट 
     कंगारू 
     कस्तूरी 
     मृग       कस्टुण्डा
                  कस्तूरा
     कुत्ता   
     खच्चर 
     खरगोश      फरड़ू
                    सैहड़ू
     गाय          गा
     गिलहरी        गलैहरी
     गीदड़           गिद्दड़
     गोरिल्ला       गरिल्ला
     घड़ियाल      
     घोड़ा            
     चूहा                 मूसा       
     छछूंदर          चचुंदर
     जया    
     देवरा।             देर
     टट्टू          
     तेंदुआ             मिरग
     दरियाई     
     घोड़ा 
     नीलगाय          .नील गा
     नेवला             नौल़
     बंदर                बांदर
                         बान्दर
     बकरी     
     बछड़ा                  बच्छू
     वनमानुष    बणमाहणू
     बाघ               मिरग
     बारहसिंघा       हिरण
     बिल्ली           
     बैल             बल़्द
                     दांद
     भालू           रिच्छ
     भेड़       
     भेड़िया     
     भैंस              मझ
                   मैहस
     भैंसा    झोटा
     मगर 
     मगरमच्छ 
     मूसा  
     मूषक 
     मेडा         भेडा
     मेमना     
     बाघ          मिरग
     लंगूर        धल़ांदर
     लकड़बग्घा        मिरग
     लोमड़ी      गिद्दड़
     शिकारी     सकारी
     सांड          
     शाही        साही
     सियार  गिद्दड़
     सूअर     सूर
     हाथी 
     हिरण
     सुबह          भ्याग
     आज          अज्ज
     अपराहन  
     दोपहर      दपैहर
     साईं           साथी ,बाबा
     रात्रि         रात
     घड़ी         घड़ी
     तिमाही 
     छमाही 
     कल 
     परसो 
     चौथा 
     महीना          मींहना
     साल            बरही
     वार्षिक         बहरिया दा
     चतुर              चलाक
   
     रविवार      तुआर     
    सूरत    सकल
   सुर्खी    
   सुर्खाब
    सुरत  होस
   सूरत    सकल
   सुरसा   
   सुरा      सराब
   सुराग    भेत
   सुराज खरा राज
   सुराख।  छेद
                 छींडा
    सुर्खी      
   सुलगना  बल़ना
   सुलझना सुल़झणा
   सुलझाव
    सुलफा      भंग
   सुलभ       असान
   सुलूक     सलूक
   सुविधा  सुबधा
   सुवर्ण।   गोरा , सनैहरी
   स्रुवा 
   सुवास   खुसबू
   सृष्टि   संसार
   सृजन  जमणा
   सुस्त 
   सुसज्जित  सजाया
   सुहाग    
   सुहाना छैल़
   सहागा 
   सुहगरात 
   सहागिन सुहागण
   सुहागी
   सूंघना  सींघणा
   सूंड  
   सुअर 
   सुकून  सांति
                चैन
   सूक्ष्म  बरीक
   सूक्त
    सूखा  सुक्का
   सूखाग्रस्त  सुक्केया
    सूचक     
   सूचकांक
   सूजी 
   सूजना 
   सूत 
   सूती 
   सूतक 
   सूत्र 
   सूद 
   सूना 
   सूरज 
   सूर्य सूरज
   सूर्यास्त  सूरज घरोणा
   सूर्योदय सूरज सीरना
   सूरत 
   सूरमा 
   सेवा    सयोआ
   सेक  तौ
   सेकना सेकणा
   सेवन  खाणा
   सेना।  फौज
    सेंधा  लूण
   सेंधमारी चोरी
   सेतु  पुल़
   सेतिया 
   सेर  पराणा इक किलो
   सेल  बेचणा
   सेला 
   सेवन 
   सेवक नौकर
   सेविका सेविंग नकराणी
    सेज बछाण
             मंजा
   सेजा  अर्थी
   सेहरा 
   सैंतीस सैंती
   सैंतालीस संताल़ी
    सैंकडा    सौ
   सैनिक   फौजी
   सैन्य    फौजी
   सैर     घुमणा
   सैला 
   सैलाब बाढ़
   सैलानी
   सोंठ         सुण्ड
   सोंधी          मिठ्ठी 
   सोज 
   सोटा        डण्डा
   सोना         सूना
   सोपान 
   सोफा 
   सोरठा 
   सोलह          सोल़ह
   सोहबत        सोबत
   सौंपना       देणा
   सौंह              सगंद
   सौजन्य     से           
सौंदर्य  छल़ैपा
   सौंप       सौंफ
   सौंदर्यीकरण  सज्जणा
   सौगंध   सगन्द
   सौत    सौतण
   सौतन  सौतण
   सौतेला सुकुत्तरू
   सौदा   सौदा
   सौदागर  सुदागर
   सौदाई   सुदाई
   सौर        चादर
   सौष्ठव     तगड़ा
   स्कंध 
   स्टेशन    टेसन
   स्तंभ    खम्बा
   स्तंभित  चकत्त
   स्तन      थण /चीचू
   स्तर       दर्जा
   स्तरीय 
   स्तरहीन घटिया
    स्नान     नौहण
   स्नातक  बी ए
   स्नेह।  लाड
   स्त्री   जणास
   स्तुति  स्तुति
   स्तूप
    स्थल जगह/ठाहर
   स्थान  जगह / ठाहर
   स्थिति। हालत /तरह
    स्वयं  अप्पु
   स्वास्थ्य सेहत
   स्वामी   मालक
   स्वीकार  मन्नणा
   स्थापित बणाया
   स्थिति    हालत
   स्थापित  बणाया
   स्थाई।     पक्का
   स्थित     मजूद
   स्थिरता  टिकाऊ पण
   स्नायु    नाड़
   स्नायुतंत् नाड़ी तंत्र
   स्निग्ध  नेड़े
   स्नेह     प्यार
   स्पष्ट   साफ
   स्पेशल खास
   स्पर्श छूणा
   स्पष्ट साफ
   स्पष्टीकरण   सफाई
   स्फूर्ति       सफुर्ती
   स्फटिक 
   स्फुरण।  फुरना
   स्मरण   याद
   स्मृति     याद
   स्मार्ट    तेज
   स्मृति  यादाश्त
   स्याह   काल़ा
   स्याही  स्याई
   स्याम काल़ा
   स्रोत     सुगल
   स्राव    रसाव
   स्लेट।  सैल़
   स्लेटी  चाक
   स्वेद 
   स्वेच्छा अपणा गों
    स्वतंत्र अजाद
   स्वतः   अपणे आप
   स्वतंत्रता अजादी
    स्लीपर      स्लीपर
   स्लेट           स्लेट
   स्वयं      अप्पू
   स्वछंद।   अजाद
    स्वप्न       सुपना
   स्वप्नदोष  झड़ना
   स्वदेश  अपणा मुल्ख
   स्वरूप  सकल
   स्वर     सुर
   स्वर्ग     सुरग
   स्वर्ण   सूना
   स्वल्प  थोड़ा
   स्वल्पाहार  थोड़ा खाणा
   स्वांग।  सुआंग
   स्वागत  सुआगत
   स्वामी   सुआमी
   स्वाति     नक्षत्र
   स्वाद  सुआद
   स्वादिष्ट।   सुआद
    स्वाधीन 
   स्वाध्याय  अप्पू पढना
   स्वाधीनता    अजादी
   स्वामी सुआमी
   स्वार्थ    सुआरथ
   स्वार्थी   सुआरथी
    स्वीकार मन्नणा
   स्वीकृति मंजूरी
   स्वीकृत मंजूर
   स्वेच्छा अपणी इच्छा
   हंगामा हल्ला रौल़ा
   हंस 
   हंसी हासा
    हंडी हण्डू
   हंडिया हण्डी
   हंसली  दराटी
   हंसोड़ हसणू
    हक  हक
   हकीकत असलीत
   हकदार  मालिक
   हकीम   वैद
    हकलाहट  हकल़ाणा
   हकलाना तोतल़ा पण
   हकला तोतल़ा
    हकीम वैद
   हजार झाहर
   हज 
   हजामत झामत
    हटना    हटणा
   हटाना  हटाणा
   हठ हठ
   हड 
   हडकाना  भगाणा
   हडताल 
   हडताली 
   हडपना 
   हड्डी 
   हडबडी 
   हद  सीमा
   हदीस 
   हत्या  खून
   हत्याकांड  कतल दी वारदात
   हत्था
    हथियार 
   हथेली थ्याहल़ी
   हथियाना खोहणा
   हथकंडा  ढंग
   हथकरघा खड्डी
   हनन खोहणा
   हम असां
   हमारा  असांदा
   हमला  हमला
   हमाम  हमाम
   हवा हौआ
   हया सरम
   हर सब
   हरजाई धोखेबाज
   हरजाना 
   हरड 
   हरि 
   हरियाली
   हरा 
   हराल 
   हलाल 
   हलांकि 
   हलाहल सराब
   हर्ष      खुसी
   हर्ज  नुकसान
   हरम 
   हल हल़
   हलवाल 
   हलवाई  हलुआई
   हलक 
   हलचल 
   हलफनामा सच दी चीठु
   हलवा  हलुआ
   हलाला 
   हल्का    हलका
   हल्ला रौल़ा     
   हवन .       हवन
   क्षवलदार   हवलदार
   हवस          हवस
   हवशी          हवसी
   हवा            हौआ
   हवाई           हुआई
   हवाला            हुआला
   हवेली           मेहली
   हव्वा              
   हश्र               हसर
   हसीन           छैल़
   हस्ती           हस्ती
   हां              हां
   हामी          हामी
   हांफ           हफ्फ
   हांफना।   हफ्फणा
   हाकिम     हाकम
   हाकी        
   हजिरी         हाजरी
   हाजी हाजिर हाथ 
   हाथी      हाथी
   हानि     नुकसान
   हानिकारक  नुकसान देह
   हाफिज       रखुआल़ा
   हाय              हा
   हार           हार
   हारना        हारना
   हार्दिक।       दिली
    हाल           हाल
   हालत       हालत
   हालात       हलात
   हालांकि।  हलांकि
    हाव           हाव
   हावभाव  हाओ भाओ
   हास्य           हासण
   हासिल    हासल
   हास्यास्पद 
    हिंडोला      ढोलणा
   हिंदी           हिन्दी
   हिस्सा         हेस्सा
   हिंदू।           हिन्दू
    हिंसा           खूनखराबा
   हिंसक         
                    
                 
   हिंसात्मक   खूनी
    हिचक      हिचक
   हिचकना  हिचकणा
   हिचकी      हिचकी
   हिचकोला  हचकोला
   हिजडा     हिजड़ा
   हिजाब       झुण्ड
   हिज्जा।     
   हित             फैदा
   हितकारी       हितकारी
   हितैषी           हतैसी
   हितकर।        फैदेमंद
   हिदायत          हिदैत
   हिना             मेंहदी
   हिफाजत        फाहजत
   हिम                बर्फ
   हिमाचल     म्हाचल
   हिमालय  हमालय
   हिम्मत      हिमत
   हिमाकत  हमाकत
   हिरण        हिरन
   हिरण्य।    
    हिरासत  हरासत ,
                   क़ैद
   हीरा         हीरा
   हिलना   हिलणा
   हिलाना हलाणा
   हिलोर    हलोर
   हिसाब   हसाब
   हिस्सा।  हेस्सा
   हींग    हिंग
   हीन     हीन
   हीरा    हीरा
   हीरक 
   हीला      हीला
   हुंकार  हुंकार
   हुआ   होया
   हुकूमत हकूमत
   हुक्का   कली
   हुक्म      हुक्म
   हुजूम      भीड़
   हुजूर      हजूर
   हुज्जत।    सरारत
   हुडदंग     मचाहलड़ा
   हुनर          हुनर
   हूर            छैल़
   हुर्रे 
   हूलिया    सकल
   हुल्लड     हुल्लड़
   हूक           पीड़ ,चीख
   हृदय           दिल
   हृदयाघात   
   हेकडी        हेकड़ी  
   हेठ            थल्लैं
   हेड             हेड़
   हेमंत          स्याल़ा
   हेरफेर       हेरफेर
   हेला 
   हैजा          बेथाह जुलाब
   हैवान            जनौर
   होंठहोहोटल 
   होडा               होड़ा
   होनहार            होणहार
   होना            होणा
   होरी             होरी
   होम              हवन होम
   होली          होल़ी
   होश।             होस
   होशियार      हुसियार
   होशियारी      हुसियारी
   हौज             हौज
   हौल             हौल
   हौसला         होंसला 
   विमुख      मुँह फेर
   विमुक्त       आजाद
   वियोग       बछोड़ा
   वियोगी      बयोगी
                     बजोगी
   विरक्त         वरक्त
   विरक्ति।   वरक्ति
   विरला         बिरला
   विरह           वेदण
   विराट         बड्डा
   विरासत      बरास्त
   विराजमान     मजूद
   विराम           रोक
   विरुद्ध          खलाफ
   विरोध       खलाफत
   विरोधी         खलाफ
   विलंब            देर
   विलक्षण    चंचल
   विलय।        मलाणा
   विलग               लग
   विलोम             उल्टा
   विलोप।           लुप्त
   विवश           बेवस
   विवाह          व्याह
   विवाद            झगड़ा
   विवादित।     झगड़े आल़ा
   विवशता          मजबूरी
   विवाहित     सादी सुदा
                  भ्योतेया
   विविध         लग लग
   विविधता।   
   विवेक            रूहानी
   विवेकपूर्ण 
   विवेकपूर्वक
   विशाल             बड्डा
   विशालकाय बड़े आकार दा
   विशालता।   
   विशिष्ट             खास
   विशिष्टता     खासियत
   विशेष         खास
   विशेषज्ञ         माहिर
   विशेषता   खासियत
   विशुद्ध         खाल़स
   विशेषण     खूबी
   विशषत
   विशेषतया 
   विशेषांक खास अंक
   विश्राम 
   विश्लेषण।  
   विश्व 
   विश्वास      बसुआस
   विश्वसनीय  बसुआसी
   विश्वसनीयता बसुआसपण
   विश्वस्त          बसुआसे आल़ा
   विश्वास         बसुआस
   विष           ज़हर
   विषाक्त   ज़हरीला
   विषय       
   विषाणु जीवाणु
   विषम       मुसकल
   विषमता  फर्क
   विषय  
   विषयक 
   विषैला     बसैला
   विस्तार    फलाओ
   विस्तृत  फैलेआ
   विसर्जन वसर्जन
   पीडित        दुखिया
   पीडांतक    दुख
   पीना          पीणा
   पीपपीपल पिपल़
   पीपा         पीपा
                   कनस्तर
   पीयूष     अमृत
   पीहर      ससुराल
               सौहरे
   पीला        पील़ा
                  प्यूल़ा
   पीलापन  प्यूल़ापण
   पीलिया    पाण्डुरोग
   पीली          प्यूल़ी
   पीलू           पील़ू
   पीसना         पीहणा
   पीहछ          
   पुंगव             मुट्टू
   पुंज              गुच्छ
   पुंडरीक      
   पुलिंग           मरदाना
   पुलिस          पुल़स
   पुत्र              पुत्तर
   पुंश्चली 
   पुंसत्व 
   पुआ 
   पुखराज       
   पुकार।           सद
                       हक
   पुकारना  हक पाणा
   पुख्ता       मजबूत
   पुचकार      लाड़
   पुचकारना लाड़ करना
   पुच्छ          पुच्छ
   पुछल्ला       पिठ्ठू
   पुछवाना     पछवाणा
   पुजारीपुट 
   पुट्ठी                  उल्टी
                        मूंधी
   पुडा             पुड़
   पुडिया          पुड़ी
   पुण्य             पुन्न
   पुण्यतिथि     मृतुदिन
   पुतला          पुतल़ा
   पुतली           पुतल़ी
   पुताई          लपाई
   पुत्र               पुत्तर
                      
   पुत्री                  धी
   पुदीना         पदीना
   पुन               पुण
   पुनना          पुणना
   पुन:           भिरी
   पुनीत         खरा
   पुरंदर         
   पुर              नगर
   पुरखा       पितर
   पुरजा          पुरजा
   पुरजोर      ज़ोरें ने
   पुरवा           हौआ
   पुरवाई          हौआ
   पुरानी           पराणी
   पुराना        पराणा
   पुराण।        पराण
   पुरातत्व     पराणी चीज़ां दा
   पुरातन।        पराणा
    पैन    कलम
   पैनल   दल
              पैनल
   पैना     तेज़
   पैनापन  तेज़
   पैबंद    टल्लु
   पैशाच  भूत
               प्रेत
   पैसा    पैसा
   पौआ   पउआ
   पोखर  छप्पड़
               तल़ा
   पोत      जहाज़
   पोता     पोतरू
   पोला   खोखल़ा
   पोतनापोती  बेऔलादी
   पोथी       पोथू
   पोना       पोचा
   पोर         मसाम
   पोल      राज
   पोला।   खोखल़ा
   पोशाक   कपड़े
                 ओढण
   पोष        पोह
   पोषक  पालक
   पोषण  दिख भाल़
   पोषित  जिसदी दिख भाल़ होयै
   पौष 
   पौ        भ्याग
   पोहा     चौल़ा दी खराक
   पौध    पनीरी
   पौना    परौहणा
   पौरुषेय  मर्दानगी
   पौरुष    मर्दाना
   पौष्टिक  सेहतमंद
   पौष्टिकता गुणकारी
                    ताकती आल़ा
   प्यार        प्यार
   प्याज     गंढू
   प्यास  तरेहया
   प्याजी  प्याज़े दा
   प्यादा   नौकर
   प्रकट  साहमणे
   प्रकट  साहमणा
   प्रकृष्टं 
   प्रकर्ष 
   प्रकरण  मामला
   प्रकार   किस्म
   प्रक्रिया  ढंग
   प्रकृति  कुदरत
   प्रकाश   लौ
   प्रकाड   उचे दर्जे दा प्रकांड
   प्रकाशक  छापणे आल़ा
   प्रकाशन   परकासन
   प्रकोप   क़हर
   प्रकोष्ठ   कमरा
   प्रक्षेपण भेजणा
   प्रक्षेत्र       इलाका
   प्रक्षिप्त  दुखी
   प्रक्षेपास्त्र  उपग्रह
   प्रखंड    हिस्सा
   प्रखर    तेज
   प्रखरता तेजी
   प्रख्यात  मसहूर
   प्रख्याति  मान
   प्रगति  तरक्की
   प्रगट  साहमणे
   प्रगतिशील  तरक्की करदा
   प्रगाढ़  ग़हरा
   ग़हरी.     गूढ़ी
   प्रगल्भ
   प्रगल्भता 
   प्रचंड      तेज़
   प्रचलन   चलन
   प्रचलित  चालू
                     जारी
   प्रण         कसम
   प्रणाम   परनाम
   प्रणाली  रसम
   प्रणव     ऊँ
   प्रचारक परचारक
   प्रचुर      काफी
                      मता
   प्रचुरता  मती
   प्रच्छद
   प्रजजन  जम्मणा
                     जमाणा
   प्रजा         जनता
   प्रज्वलन   भड़कणा

                      वल़ना
   प्रजापति   राजा
   प्रज्वालित  वल़ेया
    प्रम प्रणय   प्यार
   प्रणयन        प्यार
   प्रणव           ऊँ
   प्रणीत         प्रेमी
   प्रतीक          नसाण
   प्रत्येक         इक इक
                         सब
                          हर इक
   प्रति            दे तांईं
   प्रतिक्रिया       असर
   प्रतियोगिता   मकाबला
   प्रायोजी          दाव लगाणे आल़ा
   प्रायोगिक       इस्तेमाल कितेया
   प्रायोजित।        करुआणा
                             कुसी कम्में जो करना
    प्रताप               तेज प्रभाव
                               असर
   प्रतापी            ..असर दार
   प्रति              के तांईं
   प्रतिकार             जवाब
                                वरोध
   प्रतिक्रिया।         असर
   प्रतिकृति            हमसकल
   प्रतिक्रिया          असर
                                 जवाब
   प्रतिक्षण           हरघड़ी
   प्रतिग्रह             वचार  
अध्ययन   	 पढ़ाई
आनंद 	      अनन्द
अनंतिम    	आखरी
अनंतर      	पिच्छे 
अनूपगढ़   	इक्की 
अंकगणित  	स्हाब
अंगना       	अंगण
अनचाहा    	चाह्ना 
अनजान     	अणजाण
अनजाना   	 अणजाणेया
अनजानी    	अणजाणी
अनदेखा     	अणदेखी
अनपढ़      	अणपढ़
अनपढ़ता   	अणपढ़ता
आना         	औणा
अपेक्षा       	इलावा
अनबन      	अणवण
छिलका       सिक्कड़
छिलना        सिक्कड़ निकाल़ना
छिलना        छिलणा
छिलना        छिलका कढणा
छिलवाना     छिलका कढुआणा
छिल्लड       छाल 
छींक           छिक्क
छींकना       छिकणा
छींट            छिट्टा देणा
छींट            इक कपड़ा
छींबी           छिंबणा
छींबी            छींबया
छी                छी:
छी               नफरत जोग
छीनना         खोह्णा
छीलना         छिलणा
छुआई          छूह्णा
छुआछूत       झोत
छुईमुई          छुईमुई    
छुईमुई          सरमालू
छुच्छ            छूच्छा 
छुछूंदर         छुछूंदर
छूट              छूट     
छुरा             चाकू
छुरी             करद
छुटका         निक्का
छुटका         लौह्का
छुटकी          निक्की
छुटकी          लौह्की
छोहटी          छोट्टी
छोहरी           कुड़ी
छोहरू          मुण्डू
छोकरू         जागत
छोकरूपण   बचपना
छोकरूपण   लड़कपणा
छोकरूपण  छोकरमत्त
छुटकारा      छुटणा
छुटकारा      छडणा
छुटपन        बचपना
छुटपुट        किछ किछ
छुटपुट        कदी कदी
छुटभैया      माड़ा रीड़ा 
छुट्टी           छुट्टी
छुट्टा           टुटयो पैसे
छुडाई         छडाई
छुडाव         छडाण
छुनकना      छुणकणा
छुहारा        छुहारा
छूट            छूट
छूत           छूत
छूत           झोत
छूना          छूह्णा
छेकना      छेकणा
छत्र              छत्तर
छत्री             छतरी
छत्रपति        छत्तरपति
छद्म             ढभंज्ज
 छद्म             ढोंग
छद्म              कपट
छद्म              गुप्त
छन               छिन या छण
 छन              घुंघरुआँ दी उआज
छन               छपरे दी छत
छन               छन्न
छनक           घुंघरुआँ दी उआज
छनक           छण भर
छनक           छणिक
छनना          छानणा
छनना          छणोणा
छननी          छानणी
छनवाना       छणुआणा
छप              पाणिए दी छप छप उआज
छप              छाप
छप              छपणा
छप              छप
छपाक          पाणिए उच्छल़ने दी उआज़
छपाका         उच्छल़या पाणी
छप्पर           छप्पर
छप्पन          छपूंजा
छपाई           छाप्पा
छपाई           छपाईया दा मुल्ल
छप्             पाणिए दी छप् छप् उआज
छब             छाबड़
छब             छल़ैपा
छब             छबीलापण
छवि            तस्वीर
छबीला        छैल़
छम            पैरां देयां गैह्णयां दी उआज           
छम            बरखा दी उआज़
छमा           माफी
छरहरा        पतल़ा 
छरहरी         पतल़़ी
छर्रा             बरूदे च भरोयो लोए कने सीसे दे टुकड़े
छर्रा             घुंघरूआं भरोयो कंकड़
छर्रा             कंकड़ 
छल              छल़
छल              धोखा
छली             धोखेबाज़             
छलकना       भरोणे ते बाद भांडे ते बाह्र वगणा
 छलकना       अथ्रू निकल़ना
छलकना         छल़कना
छलकाना        छल़काना
छलकाना       पाणी  हिलाई करी बाह्र छल़काना
छल                छल़
छली                छल़ करने आल़ा
छलना             छल़ करना
छलनी             छानणी 
छलांग             छाल़
छलाका            छल़ाका
छलाका            छल़कना
छलाका            कल़ेजें छल़ाका पौणा
छली               छल़ करने आल़ा
छलिया          छल़ करने आल़ा
छलिया      प्यार नी निभाणे आल़ा
छल्ली           छल्ली
छल्ली           मक्की
छल्ली           छाल
छवि            तस्वीर
छह              छे
छांट             छांग
छांटना         छांगणा
छादना         छाणा 
छादना         डुआण देणा
छाना           छाणा
छाना           बधिया प्रदर्सन
छाछ            छाह्
